Name,About,Experience
Thomas Coppersmith,"A FEW FACTS ABOUT ME:

♦ Retired US Air Force officer. I am now a part of the outstanding team at Booz Allen Hamilton working in the Defense Intelligence Group in the Air Force Market.

♦ Over 24 years of professional military training, management and leadership experience with a reputation for meeting the most challenging organizational goals and objectives. A pragmatic and focused individual consistently recognized for excellence in leadership, and “making seemingly impossible situations work.” A proven and VERIFIABLE record!","Lead a Booz Allen team in helping the Air Force to transform Command and Control systems (AF C2) into agile, efficient, cost effective, standards-based, and adaptable weapon systems. Brand and market Booz Allen capabilities with key client decision makers, influencers, and program stakeholders. Collaborate with a team of enterprise and system architects, Cloud and SOA architects, systems engineers, infrastructure engineers, intelligence analysts, and operational subject matter experts to enable C2 transformation. Leverage AF C2-related expertise with military operational, acquisition and sustainment or information technology to support transformation activities. Lead the development of proposals, whitepapers, project plans, studies, and analysis to define and win new projects. Provide program management and project management leadership to matrixed team of experts.
…
see more"
David Merrill,EMPTY,Lead Associate
Scott Case,"When I first joined the US Air Force over 20 years ago, I set out to serve something bigger than myself, travel the world, meet great people, and fly. While purposefully flying through dangerous hurricanes with the Hurricane Hunters, as crazy as that seems, was a strong desire, I ended up flying in the mighty B-52. That set me on a path to experience nearly everything on my list and them some. I've been truly blessed.

After years of hard training by extremely talented mentors, the Air Force developed me into an electronic warfare, weapons, and tactics expert. Through combat experience, seeing others I admired make the ultimate sacrifice for their country, and some personal experiences, my focus shifted from pursuing egocentric objectives to serving others, especially those who worked for me or relied on me for anything.

As I progressed through my career, I learned to become more forward thinking. I honed the ability to develop a long term vision that solves specific problems, successfully find resources and buy in from leadership, and manage complex projects to achieve my vision. I became exceptionally good at rallying and steering award winning experts towards organizational goals, picking up some process improvement skills along the way.

I have an enduring passion to train and equip current and future generation warfighters for effective combat operations against potential adversaries. I strongly desire to work in positions that allow me to positively influence the ability of our servicemen and women to achieve mission success and return home safely. The Air Force, and those who continue or had the courage to serve, have done more for my family and me than I could ever repay. I will continue to seek ways to pay that back to our young servicemen and women. I look forward to serving them in whatever capacity I can.",EMPTY
Franz Plescha,EMPTY,Senior Associate
Susan Morris,"An accomplished executive who leads Booz Allen’s $75M per year business to the Air Force Civil Engineering and Infrastructure clients as well as the Department of Interior. Possesses a strong commitment to building business, driving growth, developing new capabilities and service offerings, and developing talent. In addition to my business and technical leadership, regarded as an expert in developing high performing and multi-talented teams. (TS/SCI Clearance, 1 Aug 2018)","As a Booz Allen Principal, is an Executive leading our Infrastructure and Environmental business for the Air Force and Department of Interior. Served in progressively increasing levels of responsibility as an engineer and manager in diverse roles. Proven successful in developing and marketing long-range programs and provided a regional presence for Booz Allen Hamilton in the Pacific Rim. During her tenure, provided project and program management support to Army and Air Force stakeholders to support master planning for major weapon system beddown activities, led and developed Booz Allen’s environmental assessment capabilities for AF clients, and built our Public-Public, Public-Private service offering. Currently is the PM for the AF Civil Engineer’s NexGen IT PMO, SME support, and SAF/IE SME support directing a multi-disciplinary team of staff to help the AF Civil Engineers through their transformation journey and replace their legacy out of date IT systems. (TS/SCI Clearance, 1 Aug 2018)
Key Accomplishments:
Grew an initial $4M/year contract to more than $50M within 3 years and unseated all other incumbent contractors. Won over 10 different full and open competitions on multiple contract vehicles ranging from Low Price Technically Acceptable to Best Value, managed multiple contracts both Firm Fixed price and Cost Plus Fixed fee.
Officer In Charge of more than $11M/year (T&M and FFP task orders). Ensured risk free delivery, with superb CPARS ratings of “Very Good” to “Exceptional”.
Was the regional Lead, Army Installation Management Command (IMCOM) – Korea. Led the transition of the $6.5M+ support contract from the incumbent contractor to Booz Allen. From across multiple geographies, hired, relocated, badged and attained SOFA status for an extremely diverse staff of 50 personnel, providing support to three US Army Garrisons and to HQ IMCOM in Korea. Ensured seamless transition of mission support on Day 1 of our contract start.
…
see more"
"Matthew McMahan, PMP","• Over 38 years’ experience with specialization in Air Force maintenance, logistics, manpower, personnel, organization, education & training, and mission support
• Experienced program manager overseeing portfolio of contracts valued at over $35 Million
• Strong background in strategic planning, policy development, learning, and decision-support analyses
• Certified Project Management Professional (PMP)
• Acquisition Professional Development Program Level II certified, Acquisition Logistics specialization
• ICAgile Certified Professional
• Department of Defense (DoD) TS/SCI security clearance","Serves as program manager for a portfolio of contracts valued at over $35 Million. Directs and manages project planning, execution, staffing, financial accounting, and proposal activities ensuring quality client delivery. Leads multidisciplinary teams in developing organization, human capital, learning, process engineering, analytics, and information technology business strategies for government clients in the Air Force Mission Support market. Assists clients in formulating strategy, policy, and resource advocacy approaches and solutions to address long-term issues relative to changes in force structure, technology, process engineering, organizational structure, workforce, and fiscal environments. Leverages Modeling and Simulation (M&S), economic analysis, wargaming, and analytical other approaches to facilitate informed decision-making around Air Force mission generation, repair network, readiness, acquisition, and human capital processes. Oversees development and deployment of advanced analytics and learning & development consulting capabilities. This includes hiring and developing experienced, certified staff; researching and leveraging emerging tools, technologies, and best practices; and developing and executing marketing plans to sustain and grow an Air Force Mission Support business.
…
see more"
Kenny Smith,"25 Year Senior Air Force Leader, Veteran, and 5th Generation Warfare Subject Matter Expert with both depth and breadth of experience in a variety of areas to include command at the Group and Squadron level. Served as a key senior leader on the Joint Staff developing policy for the Chairman of the Joint Chiefs of Staff, the Secretary of Defense, and the National Security Staff. Served as a key advisor to the 4-star combatant commander in Korea. A career fighter pilot who has combat experience in Bosnia, Kosovo, Iraq, and Libya as well as extensive instructional, standardization and evaluation, and safety experience at both the operational and training levels. Provides insights and perspectives for client issues to conceptualize and develop policy and concepts of operations for Air Force and Joint Level Programs. As a buisness leader, leads projects across multiple markets providing deliverables for Air Force, Joint, and Interagency Senior Leaders. Leads capture efforts for immersive technologies and advanced training concepts for the Aerospace Market.","Title
Lead Associate
Dates Employed
2019 – Present
Employment Duration
1 yr
Location
NCR - National Capital Region
Title
Associate - AF Programs
Dates Employed
Nov 2017 – Present
Employment Duration
3 yrs 1 mo
Provides subject matter expertise, strategic perspectives, and business development opportunities for firm activities. Develops products and documents supporting US Air Force acquisition programs. Provides insights and perspectives on Virtual/Immersive/Augmented Reality capabilities to enhance military training and readiness."
John Stizza,EMPTY,Program Mgr
Joe McNamee,"IT systems development, systems engineering, program management, and Business Development

Specialties: Agile software development, Earned Value Management , Guidance and Control, Modeling and Simulation, OPIR mission management and data processing, Flight Test, System Acquisition","Title
Principal
Dates Employed
Jul 2019 – Present
Employment Duration
1 yr 5 mos
Location
Northern Virginia
Title
Senior Associate
Dates Employed
Apr 2007 – Present
Employment Duration
13 yrs 8 mos"
Scott Hamilton,EMPTY,Associate
Alan Powell,"- Provides executive management of 4500+ Joint Service (AF, Army and USMC) EOD operators’ integration and interoperability initiatives.
- Program Management duties include developing comprehensive acquisition plans, market analysis, technical performance, independent cost analysis, schedule, data delivery, acceptance of software
- System subject matter expert responsible for duties associated with all aspects of system configuration, integration, interfaces, business analysis, requirements gathering, documentation and training.
- Facilitates EODIMS EOD and C-IED operation data sharing with external DoD agencies and federal Intelligence Community partners
- Responsible for the development of requirements, interface, data parity and program management of the AF formsets in Asymmetric Threat Tactical Analysis Casebook (ATTAC)","Program Manager, Joint Explosive Ordnance Disposal Information Management System (EODIMS)"
Kara Fast,EMPTY,Associate
Kevin StJohn,EMPTY,BMC2 Roadmapping and JADC2 Development
Christopher Bogdan,"I am currently a Senior Vice President at Booz Allen Hamilton. I am part of a leadership team that is responsible for the $600M combined USAF and NASA accounts at BAH. Prior to my joining the firm in November 2017 I was a successful Senior Defense Acquisition Executive with over 20 years leading complex, high profile programs of over 2600 people in direct management of up to $15 Billion annually. I have a proven track record highlighted by the turnaround of two of the US Department of Defense's most troubled programs--the KC-46 Tanker and F-35 Joint Strike Fighter Programs. I am a high energy leader with exceptional technical, communications, political, and organizational skills.",Senior Vice President
Kevin Lamberth,"Kevin Lamberth is an experienced executive with significant and diverse leadership accomplishments across sectors ranging from defense, to transportation and logistics, to executive/leadership development, and academia. He has an accomplished resume that includes strategic planning and risk assessment with a strong record of leading teams, transforming organizational cultures, and guiding change. Kevin has a demonstrated history of working in the Defense & Space industry, with foreign governments, and is skilled in command, aviation, U.S. Department of Defense, and military operations.","Senior Joint Forces Military Advisor providing consultation for key Saudi Arabian leaders on transformation initiatives that are planned, developed, and implemented for reorganization, capability growth, and flexibility across the Saudi Arabian Armed Forces. Advises key leaders on the operation of new organizational goals that support initiatives being developed and implemented, on organizational readiness to accomplish assigned missions, and on change management principles that enable the organization to achieve mission tasks with maximum effectiveness and efficiency."
John Chapman,Experienced professional with a demonstrated history of success in the management consulting industry. Skilled in Air,"Title
Lead Associate
Dates Employed
Aug 2017 – Present
Employment Duration
3 yrs 4 mos
Location
Washington D.C. Metro Area
F-35 Joint Program Office--provides Program Management support for global F-35 sustainment activities. Integrates participant requirements, identifies acquisition approach and contracting actions.
Title
Lead Associate / Associate
Dates Employed
Feb 2015 – Present
Employment Duration
5 yrs 10 mos
Location
Washington D.C. Metro Area
Supports a senior Department of Defense client, focusing on emerging energy issues."
Mike (Sputnik) Morgan,"Mike has over 22 years of experience in the areas of leadership, management, human resources, strategic and operational planning, innovation, engineering management and communications. He is also a demonstrated USAF, operational test, all-domain integration, and fighter aircraft expert.

Mike is a Booz Allen Senior Associate responsible for the Las Vegas, NV geography that includes Nellis AFB, Creech AFB and the Nevada Test and Training Range. He also liaises on behalf of multiple Booz Allen business accounts across commercial and government portfolios. He is passionate about integrating strategy, digital, cyber, technology, analytics, and transformation with his active duty colleagues across the globe.

As a recognized expert in defense integration, Mike is a Booz Allen leader supporting centerline strategy adoption across the range of its Aerospace portfolio. Mike holds an MBA from Trident University, a Master of Science in Strategic Intelligence from the Defense Intelligence University, and Bachelor of Arts in History from the University of Texas in Austin. Additionally, he is a Project Management Professional (PMP) and graduate of the US Air Force’s prestigious Weapons School (Top Gun). A former Air Force rated officer with over 2000 hours in the F-15E, he also served in leadership positions at multiple levels.","I support Booz Allen's business objectives with the Department of Defense in Las Vegas, Nevada. Our team of experts, across a wide portfolio of services (Cyber, Analytics, Digital Solutions, Engineering, Consulting), are driving client success as trusted mission partners. Booz Allen Hamilton empowers people to change the world!"
David Clary,EMPTY,"Dave Clary has been a key contributor for the Aerospace Market Group (AMG) and Joint Combatant Command (JCC) market. He is currently a key leader in the Air Force account. He has also earned his Project Management Professional certification.

Dave is currently the Booz Allen Program Manager for the F-35 Engineering Knowledge-Based Services in support of the Joint Program Office. Dave leads a team of over 150 staff providing specialized technical and engineering integrations services in support of System Development and Demonstration, the Follow-on Development, the Low Rate Initial and Full Rate Production, as well as the sustainment engineering efforts on the F-35 Program.

Prior to his current task, Dave was the Program Manager for a sensitive International client involving the transformation of their Ministry of Defense. He led an in-country team that surged upwards of 70 staff involving SMEs with Joint, Army, Air Force, Navy, strategy, Intel, readiness, training, basing, organizational change management and commercial general management consulting expertise.

Dave is an Engineering and Operations Expert, with expertise in leadership, operations management, policy development, strategic planning, program management, and resource management. Dave supports numerous initiatives including Strategic Planning, Modeling and Simulation, Command and Control, Integrated Air and Missile Defense, Intelligence Surveillance and Reconnaissance requirements, Unmanned Aerial Systems, Readiness Cost and Reporting Program, Predictive Readiness Analysis, Training and Exercise Support, Irregular Warfare, Information Operations, and Nuclear Operations. He has also supported efforts in the Office of the Secretary of Defense, National Security Agency, Joint Forces Command, Army market and International market.

Dave is a Career Manager, Job Manager, and mentor; and is routinely involved in marketing, capture and proposal efforts across multiple accounts within Booz Allen Hamilton.
…
see more"
James McRae,Experienced Intelligence Analyst with a demonstrated history of working in the Military industry. Strong military and,Associate
"Jackson L. (Lee) Fox, PMP, CKM","Innovative change management professional, cross-functional project manager (PMP), and leader. Active Top Secret clearance. High-performing defense and operational readiness analyst, planning, programming and budget execution expert (DoD PPBE), and dynamic international affairs and foreign military sales (FMS) achiever. Insightful and persuasive leader with exceptional record of progressive responsibility growth in DoD and commercial P&L roles. Able to drive dynamic business growth, manage multi-billion dollar programs, resolve intractable business problems, and build interpersonal and customer relationships.

• Decisive Leader with Innovative Oversight
• Project and Change Manager
• Strategic Budget and Readiness Analyst
• International Partnership Builder","Title
Lead Associate
Full-time
Dates Employed
Aug 2014 – Present
Employment Duration
6 yrs 4 mos
Location
Washington D.C. Metro Area
Driving business growth in Aerospace market and HQ USAF Operations.
Title
Senior Predictive Readiness Analyst; Project Manager
Full-time
Dates Employed
Aug 2014 – Present
Employment Duration
6 yrs 4 mos
Location
Washington D.C. Metro Area
Senior Analyst and project manager for Air Force Readiness Analysis and Decision Support (AFRADS) Program. Provides dynamic, full-spectrum operational readiness analysis, DRRS-S and SPPBE expertise, subject matter expertise, strategic communications support, and defensible decision-support framework to enable client assessment of operational and strategic options."
Burt Miller,"Experienced Senior Associate with a demonstrated history of working in the management consulting industry, now bringing holistic organizational, process, and technical solutions to client’s toughest problems. Skilled in Operational Planning, Veterans, Mentoring, Proposal Writing, and Defense. Strong professional with a Masters focused in Military Strategic Studies, from U.S. Army War College.","Title
Senior Associate
Dates Employed
Jan 2019 – Present
Employment Duration
1 yr 11 mos
Location
Norfolk, Virginia Area
Title
Associate, Lead Associate
Dates Employed
Nov 2008 – Dec 2018
Employment Duration
10 yrs 2 mos
Location
Norfolk, Virginia Area"
Mark Rydell,EMPTY,Principal
Sabrina Fountas,"Military Domain knowledge and experience: Command and Control (C2) processes, such as military decision processes, organizational structures, information fusion, and systems integration. Broad range of experience involving concepts and methodologies in the following areas: experimental psychology of decision-making, subjective probability judgments, and problem-solving; statistical analysis for behavioral sciences (descriptive and inferential, univariate, correlation); engineering psychology, qualitative and quantitative research methods (research design, case study analysis, and multivariate statistical analysis), and theories related to social interactions. Extensive experience working effectively in teams on projects and presentations in non-profit organizations, commercial corporations, and governmental entities. Strong communication and interpersonal skills.","HAF/A3TR, Sr Readiness Analyst & Job Leader
Support HAF/A3TR providing data analysis and analytical tools to illustrate Total Force Readiness.

HAF/A1D, Lead Data Analyst
Supported the Air Force Language, Regional Expertise and Culture (LREC) Office. Created and maintained large datasets and libraries using SAS and SQL. Specialized skills in SAS/SQL programming, data mining, and data visualization."
David Dubyak,EMPTY,Associate
Kenneth Kniskern,EMPTY,"Kenny is a Lead Associate with Booz Allen Hamilton in the Aerospace Market Group. Functionally, he is a Project Lead, and Engineering and Operations expert. He primarily works at Langley Air Force Base. His primary role involves facilitating acquisition activities and conducting studies for Headquarters Air Force, NORAD, and Air Combat Command (ACC). In the Aerospace market, he supports numerous initiatives including Irregular Warfare, Command and Control, Intelligence Surveillance and Reconnaissance, Unmanned Aerial Systems, Joint Surveillance and Targeting Systems, Control and Reporting Center Radar replacement, Readiness Cost and Reporting Program, Training and Exercise Support."
Darren Johnson,"- USAF Retirement: 1 Oct 2012
- Security Clearance: TS/SCI
- Distinctive education/training: Bachelor’s Physics, MS Space Operations, top graduate in DoD ops/acq courses
- 20 yr USAF career--leadership and management in multiple disciplines: space systems requirements / acquisition, science & technology, instructional systems development, international space policy and space & missile operations
- Sought after to lead critical thinking / analysis projects, senior leader support and operations-focused activities
- High-visibility public speaker, experienced writer of technical / programmatic reports and presentations","Launch and Test Range System (LTRS) requirements development, management, studies & analysis."
"Brad Rogers, PMP, PMI-RMP","Retired Air Force officer with a successful career as an acquisition/program manager--having participated in the development, delivery and sustainment of major weapon systems. I've served 4 years in the Pentagon, including assignements in Acquisition Transformation and Portfolio Management.

Specialties: Leadership, Team Management, Analytical Capacity
PM Level 3
Program Management Professional (PMP)","Currently, the Deputy Program Manager for the F-35 Joint Program Office's Systems Engineering Services contract. Oversee the 150 Booz Allen and subcontractor staff providing engineering and technical support services to the Joint Program Office covering all aspects of the development, production, and sustainment of the F-35 weapons system."
Benton Enomoto,EMPTY,Data Scientist
Mike Glenn,EMPTY,"Title
Physical Security Analyst
Full-time
Dates Employed
Apr 2020 – Present
Employment Duration
8 mos
Location
HQ USMC Installation Command, Pentagon, Washington DC
Title
Research And Policy Analyst
Full-time
Dates Employed
Feb 2019 – Apr 2020
Employment Duration
1 yr 3 mos
Location
HQ USAF Privacy Compliance Office, Pentagon, Washington DC
Research and Policy Analyst at HQ United States Air Force Privacy Compliance Office
Title
Data Research Analyst
Full-time
Dates Employed
Dec 2015 – Feb 2019
Employment Duration
3 yrs 3 mos
Location
Air Force Culture & Language Center, Montgomery, AL
Online course management/Executive Support for the Air Force Culture and Language Center"
Todd Boesdorfer,EMPTY,Associate--Advanced Analytics
Jim Kolling,EMPTY,"Title
Principal/Director
Dates Employed
Jan 2018 – Present
Employment Duration
2 yrs 11 mos
Location
San Antonio, Texas Area
Title
Senior Associate
Dates Employed
Sep 2006 – Present
Employment Duration
14 yrs 3 mos"
Michael Collat,"• Experienced business leader providing wide array of consulting services around strategic/operational planning, logistics analysis, decision support and operationalizing technology.
• Diverse background and unique skill sets--experienced in business, leadership, and military/gov't operations...Communications and Intelligence officer during 20-year US Air Force career. Skilled at quickly adapting to new positions, assessing priorities and aligning resources to produce results.
• Current TOP SECRET-SCI security clearance and SSBI","Title
Principal at Booz Allen Hamilton
Dates Employed
Jul 2018 – Present
Employment Duration
2 yrs 5 mos
Location
Honolulu, Hawaii, United States
Leads Booz Allen’s Aerospace and Joint Combatant Command (JCC) business across the Pacific Rim, managing contracts that provide Strategic and Operational Planning, Logistics Analysis, Knowledge Management and Cyber Readiness support to clients in Hawai’i, Alaska, Japan and Korea. Leads the development and growth of 85 consultants serving Air Force, INDOPACOM, and Special Operations clients with the goal of empowering people to change the world.
Title
Senior Associate
Dates Employed
Jan 2015 – Jul 2018
Employment Duration
3 yrs 7 mos
Supported the Pacific Air Forces’ (PACAF) Strategy & Plans Directorate in developing the command’s long-range strategy and in crafting wargames to emulate the application of that strategy to inform planning choices. Built out consulting business, achieving 15x growth over 3 years.

As member of the U.S. Pacific Fleet Commander’s Action Group, provided strategic thought leadership to the 4-star commanders and developed engagement plans and communication products to advance the fleet’s maritime capabilities and its relationships with key stakeholders.
…
see more
Title
Lead Associate
Dates Employed
Feb 2008 – Dec 2014
Employment Duration
6 yrs 11 mos
Location
Honolulu, Hi
IT and Cyber Security Consultant & Team Leader
• Led team of five in analyzing cyber threats and vulnerabilities and developing risk assessments to government networks.
• Coordinated risk mitigation course-of-action recommendations by gathering inputs from diverse functional teams.
• Synthesized network intelligence, vulnerability assessments, NetOps events, network security incidents and commercial Internet security best practices into enterprise security posture assessments, mitigation recommendations and directives.
• Provides functional leadership to 20 staff members providing Certification and Accreditation (C&A), Information Assurance, Network Defense, and IT security services.
• Analyzed and documented IT User Provisioning Process and developed roadmap to achieve objective Identity and Access Management architecture for major private educational/endowment management institution. Applied Business Process Analysis and Re-Engineering to produce As-Is and To-Be architectures, performed Gap Analysis and sequenced Enterprise Architecture initiatives and IT solutions into master roadmap.
• Managed $1.5M information assurance contract with US Air Force, performing financial management, ensuring contractual compliance, guaranteeing quality of deliverables and managing client satisfaction.

Strategic Communication Consultant
• Led two-person team developing Strategic Communication plans, messages and assessment methodology to ensure words and actions advanced mission objectives in a measurable way during major US Navy humanitarian-civic assistance mission.
• Performed financial management of $750K task to ensure delivery client deliverable ahead of schedule and under budget.

Marketing Team Member
• Developed business strategies for increasing share in major market segment. Conducted analysis of competitive landscape, client buying patterns and addressable market in a collaborative environment to create team action plans.
…
see more"
Jerome Thompson,"I am a retired USAF Lieutenant Colonel experienced in cyberspace, electrical engineering, intelligence analysis, cyber test and operations, and advanced programs. As a defense contractor, I continue to serve the USAF and DoD in these areas.

Beyond my traditional career, I am experienced in: online game development and communities; web-mastering and SharePoint programming; simulators (racing and flying); and mentoring people.

I am extremely interested in helping people succeed. I seek to share my experiences, knowledge, and work ethic where people desire advice and a mentor.","System and Electrical Engineer, Cyber and Cyber Intel Analyst, Cyber and Information Operations Domain Expert, SharePoint, MS Access and JavaScript programmer - Since October 2016, under contract as Operations Manager and Cyber Analyst at the 16 AF Cyber Proving Ground, JBSA-Lackland, Texas. I flex as needed on multiple contracts supporting cyber, ISR, EW, and IO development and operations. Pursuing AGILE development concepts and application."
